docid,title,text,tokencount,category,lineid
0,MATLAB," matlab ( matrix laboratory ) be a multi - paradigm numerical computing environment and proprietary programming language develop by mathworks . matlab allow matrix manipulation , plot of function and datum , implementation of algorithm , creation of user interface , and interfac with program write in other language , include c , c++ , c # , java , fortran and python . ",64,Data mining and machine learning software,0
0,MATLAB," although matlab be intend primarily for numerical computing , an optional toolbox use the mupad symbolic engine , allow access to symbolic computing ability . an additional package , simulink , add graphical multi - domain simulation and model - base design for dynamic and embed system . ",48,Data mining and machine learning software,1
0,MATLAB," as of 2018 , matlab have more than 3 million user worldwide . matlab user come from various background of engineering , science , and economic . ",27,Data mining and machine learning software,2
1,Ray Kurzweil," raymond kurzweil ( ; bear february 12 , 1948 ) be an american inventor and futurist . He be involve in field such as optical character recognition ( ocr ) , text - to - speech synthesis , speech recognition technology , and electronic keyboard instrument . He have write book on health , artificial intelligence ( ai ) , transhumanism , the technological singularity , and futurism . kurzweil be a public advocate for the futurist and transhumanist movement , and give public talk to share his optimistic outlook on life extension technology and the future of nanotechnology , robotic , and biotechnology . ",105,Machine learning researchers,0
1,Ray Kurzweil," kurzweil receive the 1999 national medal of technology and innovation , the united states ' high honor in technology , from president clinton in a white house ceremony . He be the recipient of the $ 500,000 lemelson - mit prize for 2001 via   the internet archive ] . and in 2002 he be induct into the national inventors hall of fame , establish by the u.s. patent office . He have receive 21 honorary doctorate , and honor from three u.s. president . the public broadcasting service ( pbs ) include kurzweil as one of 16 "" revolutionary who make america "" along with other inventor of the past two century . inc. magazine rank him # 8 among the "" most fascinating "" entrepreneur in the united states and call him "" edison 's rightful heir "" . ",141,Machine learning researchers,1
1,Ray Kurzweil," kurzweil have write seven book , five of which have be national bestseller . the age of spiritual machines have be translate into 9 language and be the # 1 best - sell book on amazon in science . kurzweil 's book the singularity be near be a new york times bestseller , and have be the # 1 book on amazon in both science and philosophy . kurzweil speak widely to audience both public and private and regularly deliver keynote speech at industry conference like demo , sxsw , and ted . He maintain the news website kurzweilai.net , which have over three million reader annually . ",108,Machine learning researchers,2
1,Ray Kurzweil," kurzweil have be employ by google since 2012 , where he be a "" director of engineering "" . ",19,Machine learning researchers,3
2,Genetic algorithm," in computer science and operation research , a genetic algorithm ( ga ) be a metaheuristic inspire by    the process of natural selection that belong to the large class of evolutionary algorithm ( ea ) . genetic algorithm be commonly use to generate high - quality solution to optimization and search problem by rely on bio - inspire operator such as mutation , crossover and selection . john holland introduce genetic algorithm in 1960 base on the concept of darwin ’s theory of evolution ; afterwards , his student david e. goldberg extend ga in 1989 . ",98,Machine learning,0
3,Data mining," datum mining   be the process of discover pattern in large data set involve method at the intersection of machine learning , statistic , and database system . datum mining be an interdisciplinary subfield of computer science and statistic with an overall goal to extract information ( with intelligent method ) from a data set and transform the information into a comprehensible structure for further use . datum mining be the analysis step of the "" knowledge discovery in database "" process , or kdd . aside from the raw analysis step , it also involve database and data management aspect , datum pre - processing , model and inference consideration , interestingness metric , complexity consideration , post - processing of discover structure , visualization , and online updating . the difference between datum analysis and datum mining be that datum analysis be use to test model and hypothesis on the dataset , e.g. , analyze the effectiveness of a marketing campaign , regardless of the amount of datum ; in contrast , datum mining use machine - learning and statistical model to uncover clandestine or hide pattern in a large volume of datum . olson , d. l. ( 2007 ) . datum mining in business service . service business , 1(3 ) , 181 - 193 . doi:10.1007/s11628 - 006 - 0014 - 7 ",227,Data mining,0
3,Data mining," the term "" datum mining "" be in fact a misnomer , because the goal be the extraction of pattern and knowledge from large amount of datum , not the extraction ( mining ) of datum itself . It also be a buzzwordokairp 2005 fall conference , arizona state university   and be frequently apply to any form of large - scale datum or information processing ( collection , extraction , warehousing , analysis , and statistic ) as well as any application of computer decision support system , include artificial intelligence ( e.g. , machine learning ) and business intelligence . the book data mining : practical machine learning tool and technique with java ( which cover mostly machine learning material ) be originally to be name just practical machine learning , and the term datum mining be only add for marketing reason . often the more general term ( large scale ) data analysis and analytic – or , when refer to actual method , artificial intelligence and machine learning – be more appropriate . ",177,Data mining,1
